"Energy Information Administration (2017-05-14). Retail Gasoline Prices: Retail Gasoline Prices - All Grades, 08/1990 - 04/2017. Data-Planet™ Statistical Datasets by Conquest Systems, Inc. [Data-file]. Dataset-ID:  004-004-001",
doi:10.6068/DP15C0E14E92558,
Time,Retail Gasoline Prices - All Grades USA  - $/Gal
201704,2.53
201703,2.44
201702,2.42
201701,2.46
201612,2.37
201611,2.3
201610,2.36
201609,2.33
201608,2.28
201607,2.35
201606,2.47
201605,2.37
201604,2.22
201603,2.07
201602,1.87
201601,2.06
201512,2.14
201511,2.26
201510,2.39
201509,2.46
201508,2.73
201507,2.88
201506,2.89
201505,2.8
201504,2.56
201503,2.55
201502,2.3
201501,2.21
201412,2.63
201411,3
201410,3.26
201409,3.48
201408,3.57
201407,3.69
201406,3.77
201405,3.75
201404,3.74
201403,3.61
201402,3.43
201401,3.39
201312,3.36
201311,3.32
201310,3.42
201309,3.6
201308,3.65
201307,3.66
201306,3.69
201305,3.68
201304,3.64
201303,3.78
201302,3.74
201301,3.39
201212,3.38
201211,3.52
201210,3.81
201209,3.91
201208,3.78
201207,3.5
201206,3.6
201205,3.79
201204,3.96
201203,3.91
201202,3.64
201201,3.44
201112,3.33
201111,3.44
201110,3.51
201109,3.67
201108,3.7
201107,3.71
201106,3.74
201105,3.96
201104,3.85
201103,3.62
201102,3.26
201101,3.15
201012,3.05
201011,2.91
201010,2.85
201009,2.76
201008,2.78
201007,2.78
201006,2.79
201005,2.89
201004,2.9
201003,2.82
201002,2.7
201001,2.77
200912,2.66
200911,2.71
200910,2.61
200909,2.61
200908,2.67
200907,2.58
200906,2.68
200905,2.32
200904,2.1
200903,2.01
200902,1.98
200901,1.84
200812,1.75
200811,2.21
200810,3.11
200809,3.76
200808,3.83
200807,4.11
200806,4.11
200805,3.82
200804,3.51
200803,3.29
200802,3.08
200801,3.1
200712,3.07
200711,3.13
200710,2.85
200709,2.85
200708,2.83
200707,3.01
200706,3.1
200705,3.19
200704,2.89
200703,2.61
200702,2.32
200701,2.29
200612,2.36
200611,2.28
200610,2.29
200609,2.61
200608,3
200607,3.03
200606,2.93
200605,2.95
200604,2.79
200603,2.47
200602,2.33
200601,2.36
200512,2.23
200511,2.3
200510,2.77
200509,2.95
200508,2.53
200507,2.33
200506,2.2
200505,2.21
200504,2.29
200503,2.12
200502,1.95
200501,1.88
200412,1.89
200411,2.02
200410,2.04
200409,1.91
200408,1.92
200407,1.95
200406,2.01
200405,2.02
200404,1.84
200403,1.78
200402,1.69
200401,1.61
200312,1.52
200311,1.56
200310,1.61
200309,1.72
200308,1.66
200307,1.55
200306,1.53
200305,1.54
200304,1.63
200303,1.73
200302,1.66
200301,1.5
200212,1.43
200211,1.46
200210,1.49
200209,1.44
200208,1.44
200207,1.44
200206,1.42
200205,1.43
200204,1.44
200203,1.29
200202,1.16
200201,1.15
200112,1.13
200111,1.21
200110,1.36
200109,1.56
200108,1.46
200107,1.47
200106,1.66
200105,1.74
200104,1.59
200103,1.45
200102,1.49
200101,1.49
200012,1.48
200011,1.56
200010,1.57
200009,1.59
200008,1.51
200007,1.59
200006,1.67
200005,1.53
200004,1.51
200003,1.56
200002,1.42
200001,1.33
199912,1.31
199911,1.29
199910,1.29
199909,1.3
199908,1.26
199907,1.2
199906,1.15
199905,1.17
199904,1.17
199903,1.02
199902,0.96
199901,0.98
199812,0.99
199811,1.04
199810,1.06
199809,1.05
199808,1.07
199807,1.09
199806,1.1
199805,1.11
199804,1.08
199803,1.06
199802,1.1
199801,1.13
199712,1.18
199711,1.22
199710,1.24
199709,1.28
199708,1.27
199707,1.22
199706,1.24
199705,1.25
199704,1.24
199703,1.25
199702,1.28
199701,1.28
199612,1.28
199611,1.28
199610,1.25
199609,1.25
199608,1.25
199607,1.27
199606,1.3
199605,1.32
199604,1.27
199603,1.18
199602,1.14
199601,1.14
199512,1.12
199511,1.11
199510,1.13
199509,1.16
199508,1.17
199507,1.2
199506,1.24
199505,1.23
199504,1.16
199503,1.12
199502,1.12
199501,1.13
199412,1.13
199411,1.12
199410,1.11
199409,1.14
199408,1.16
199407,1.11
199406,1.08
199405,1.05
199404,1.03
199403,1.01
199402,1.01
199401,1
199312,1.01
199311,1.07
199310,1.09
199309,1.05
199308,1.06
199307,1.08
199306,1.1
199305,1.1
199304,1.08
199303,
199302,
199301,
199212,
199211,
199210,
199209,
199208,
199207,
199206,
199205,
199204,
199203,
199202,
199201,
199112,
199111,
199110,
199109,
199108,
199107,
199106,
199105,
199104,
199103,
199102,
199101,
199012,
199011,
199010,
199009,
199008,
