"S&P Dow Jones Indices, S&P Dow Jones Indices (US) (2017-05-13). S&P 500 Index (US): S&P 500 Index (US) - Close, 01/1950 - 05/2017. Data-Planet™ Statistical Datasets by Conquest Systems, Inc. [Data-file]. Dataset-ID:  039-002-001",
doi:10.6068/DP15C0E150C2F59,
Time,"S&P 500 Index (US) - Close International  - Close
  - $"
201705,2390.9
201704,2384.2
201703,2362.72
201702,2363.64
201701,2278.87
201612,2238.83
201611,2198.81
201610,2126.15
201609,2168.27
201608,2170.95
201607,2173.6
201606,2098.86
201605,2096.95
201604,2065.3
201603,2059.74
201602,1932.23
201601,1940.24
201512,2043.94
201511,2080.41
201510,2079.36
201509,1920.03
201508,1972.18
201507,2103.84
201506,2063.11
201505,2107.39
201504,2085.51
201503,2067.89
201502,2104.5
201501,1994.99
201412,2058.9
201411,2067.56
201410,2018.05
201409,1972.29
201408,2003.37
201407,1930.67
201406,1960.23
201405,1923.57
201404,1883.95
201403,1872.34
201402,1859.45
201401,1782.59
201312,1848.36
201311,1805.81
201310,1756.54
201309,1681.55
201308,1632.97
201307,1685.73
201306,1606.28
201305,1630.74
201304,1597.57
201303,1569.19
201302,1514.68
201301,1498.11
201212,1426.19
201211,1416.18
201210,1412.16
201209,1440.67
201208,1406.58
201207,1379.32
201206,1362.16
201205,1310.33
201204,1397.91
201203,1408.47
201202,1365.68
201201,1312.41
201112,1257.6
201111,1246.96
201110,1253.3
201109,1131.42
201108,1218.89
201107,1292.28
201106,1320.64
201105,1345.2
201104,1363.61
201103,1325.83
201102,1327.22
201101,1286.12
201012,1257.64
201011,1180.55
201010,1183.26
201009,1141.2
201008,1049.33
201007,1101.6
201006,1030.71
201005,1089.41
201004,1186.69
201003,1169.43
201002,1104.49
201001,1073.87
200912,1115.1
200911,1095.63
200910,1036.19
200909,1057.08
200908,1020.62
200907,987.48
200906,919.32
200905,919.14
200904,872.81
200903,797.87
200902,735.09
200901,825.88
200812,903.25
200811,896.24
200810,968.75
200809,1166.36
200808,1282.83
200807,1267.38
200806,1280
200805,1400.38
200804,1385.59
200803,1322.7
200802,1330.63
200801,1378.55
200712,1468.36
200711,1481.14
200710,1549.38
200709,1526.75
200708,1473.99
200707,1455.27
200706,1503.35
200705,1530.62
200704,1482.37
200703,1420.86
200702,1406.82
200701,1438.24
200612,1418.3
200611,1400.63
200610,1377.94
200609,1335.85
200608,1303.82
200607,1276.66
200606,1270.2
200605,1270.09
200604,1310.61
200603,1294.87
200602,1280.66
200601,1280.08
200512,1248.29
200511,1249.48
200510,1207.01
200509,1228.81
200508,1220.33
200507,1234.18
200506,1191.33
200505,1191.5
200504,1156.85
200503,1180.59
200502,1203.6
200501,1181.27
200412,1211.92
200411,1173.82
200410,1130.2
200409,1114.58
200408,1104.24
200407,1101.72
200406,1140.84
200405,1120.68
200404,1107.3
200403,1126.21
200402,1144.94
200401,1131.13
200312,1111.92
200311,1058.2
200310,1050.71
200309,995.97
200308,1008.01
200307,990.31
200306,974.5
200305,963.59
200304,916.92
200303,848.18
200302,841.15
200301,855.7
200212,879.82
200211,936.31
200210,885.76
200209,815.28
200208,916.07
200207,911.62
200206,989.82
200205,1067.14
200204,1076.92
200203,1147.39
200202,1106.73
200201,1130.2
200112,1148.08
200111,1139.45
200110,1059.78
200109,1040.94
200108,1133.58
200107,1211.23
200106,1224.38
200105,1255.82
200104,1249.46
200103,1160.33
200102,1239.94
200101,1366.01
200012,1320.28
200011,1314.95
200010,1429.4
200009,1436.51
200008,1517.68
200007,1430.83
200006,1454.6
200005,1420.6
200004,1452.43
200003,1498.58
200002,1366.42
200001,1394.46
199912,1469.25
199911,1388.91
199910,1362.93
199909,1282.71
199908,1320.41
199907,1328.72
199906,1372.71
199905,1301.84
199904,1335.18
199903,1286.37
199902,1238.33
199901,1279.64
199812,1229.23
199811,1163.63
199810,1098.67
199809,1017.01
199808,957.28
199807,1120.67
199806,1133.84
199805,1090.82
199804,1111.75
199803,1101.75
199802,1049.34
199801,980.28
199712,970.43
199711,955.4
199710,914.62
199709,947.28
199708,899.47
199707,954.31
199706,885.14
199705,848.28
199704,801.34
199703,757.12
199702,790.82
199701,786.16
199612,740.74
199611,757.02
199610,705.27
199609,687.33
199608,651.99
199607,639.95
199606,670.63
199605,669.12
199604,654.17
199603,645.5
199602,640.43
199601,636.02
199512,615.93
199511,605.37
199510,581.5
199509,584.41
199508,561.88
199507,562.06
199506,544.75
199505,533.4
199504,514.71
199503,500.71
199502,487.39
199501,470.42
199412,459.27
199411,453.69
199410,472.35
199409,462.71
199408,475.49
199407,458.26
199406,444.27
199405,456.5
199404,450.91
199403,445.77
199402,467.14
199401,481.61
199312,466.45
199311,461.79
199310,467.83
199309,458.93
199308,463.56
199307,448.13
199306,450.53
199305,450.19
199304,440.19
199303,451.67
199302,443.38
199301,438.78
199212,435.71
199211,431.35
199210,418.68
199209,417.8
199208,414.03
199207,424.21
199206,408.14
199205,415.35
199204,414.95
199203,403.69
199202,412.7
199201,408.78
199112,417.09
199111,375.22
199110,392.45
199109,387.86
199108,395.43
199107,387.81
199106,371.16
199105,389.83
199104,375.34
199103,375.22
199102,367.07
199101,343.93
199012,330.22
199011,322.22
199010,304
199009,306.05
199008,322.56
199007,356.15
199006,358.02
199005,361.23
199004,330.8
199003,339.94
199002,331.89
199001,329.08
198912,353.4
198911,345.99
198910,340.36
198909,349.15
198908,351.45
198907,346.08
198906,317.98
198905,320.52
198904,309.64
198903,294.87
198902,288.86
198901,297.47
198812,277.72
198811,273.7
198810,278.97
198809,271.91
198808,261.52
198807,272.02
198806,273.5
198805,262.16
198804,261.33
198803,258.89
198802,267.82
198801,257.07
198712,247.08
198711,230.3
198710,251.79
198709,321.83
198708,329.8
198707,318.66
198706,304
198705,290.1
198704,288.36
198703,291.7
198702,284.2
198701,274.08
198612,242.17
198611,249.22
198610,243.98
198609,231.32
198608,252.93
198607,236.12
198606,250.84
198605,247.35
198604,235.52
198603,238.9
198602,226.92
198601,211.78
198512,211.28
198511,202.17
198510,189.82
198509,182.08
198508,188.63
198507,190.92
198506,191.85
198505,189.55
198504,179.83
198503,180.66
198502,181.18
198501,179.63
198412,167.24
198411,163.58
198410,166.09
198409,166.1
198408,166.68
198407,150.66
198406,153.18
198405,150.55
198404,160.05
198403,159.18
198402,157.06
198401,163.41
198312,164.93
198311,166.4
198310,163.55
198309,166.07
198308,164.4
198307,162.56
198306,167.64
198305,162.39
198304,164.43
198303,152.96
198302,148.06
198301,145.3
198212,140.64
198211,138.53
198210,133.72
198209,120.42
198208,119.51
198207,107.09
198206,109.61
198205,111.88
198204,116.44
198203,111.96
198202,113.11
198201,120.4
198112,122.55
198111,126.35
198110,121.89
198109,116.18
198108,122.79
198107,130.92
198106,131.21
198105,132.59
198104,132.81
198103,136
198102,131.27
198101,129.55
198012,135.76
198011,140.52
198010,127.47
198009,125.46
198008,122.38
198007,121.67
198006,114.24
198005,111.24
198004,106.29
198003,102.09
198002,113.66
198001,114.16
197912,107.94
197911,106.16
197910,101.82
197909,109.32
197908,109.32
197907,103.81
197906,102.91
197905,99.08
197904,101.76
197903,101.59
197902,96.28
197901,99.93
197812,96.11
197811,94.7
197810,93.15
197809,102.54
197808,103.29
197807,100.68
197806,95.53
197805,97.24
197804,96.83
197803,89.21
197802,87.04
197801,89.25
197712,95.1
197711,94.83
197710,92.34
197709,96.53
197708,96.77
197707,98.85
197706,100.48
197705,96.12
197704,98.44
197703,98.42
197702,99.82
197701,102.03
197612,107.46
197611,102.1
197610,102.9
197609,105.24
197608,102.91
197607,103.44
197606,104.28
197605,100.18
197604,101.64
197603,102.77
197602,99.71
197601,100.86
197512,90.19
197511,91.24
197510,89.04
197509,83.87
197508,86.88
197507,88.75
197506,95.19
197505,91.15
197504,87.3
197503,83.36
197502,81.59
197501,76.98
197412,68.56
197411,69.97
197410,73.9
197409,63.54
197408,72.15
197407,79.31
197406,86
197405,87.28
197404,90.31
197403,93.98
197402,96.22
197401,96.57
197312,97.55
197311,95.96
197310,108.29
197309,108.43
197308,104.25
197307,108.22
197306,104.26
197305,104.95
197304,106.97
197303,111.52
197302,111.68
197301,116.03
197212,118.05
197211,116.67
197210,111.58
197209,110.55
197208,111.09
197207,107.39
197206,107.14
197205,109.53
197204,107.67
197203,107.2
197202,106.57
197201,103.94
197112,102.09
197111,93.99
197110,94.23
197109,98.34
197108,99.03
197107,95.58
197106,98.7
197105,99.63
197104,103.95
197103,100.31
197102,96.75
197101,95.88
197012,92.15
197011,87.2
197010,83.25
197009,84.3
197008,81.52
197007,78.05
197006,72.72
197005,76.55
197004,81.52
197003,89.63
197002,89.5
197001,85.02
196912,92.06
196911,93.81
196910,97.12
196909,93.12
196908,95.51
196907,91.83
196906,97.71
196905,103.46
196904,103.69
196903,101.51
196902,98.13
196901,103.01
196812,103.86
196811,108.37
196810,103.41
196809,102.67
196808,98.86
196807,97.74
196806,99.58
196805,98.68
196804,97.46
196803,90.2
196802,89.36
196801,92.24
196712,96.47
196711,94
196710,93.3
196709,96.71
196708,93.64
196707,94.75
196706,90.64
196705,89.08
196704,94.01
196703,90.2
196702,86.78
196701,86.61
196612,80.33
196611,80.45
196610,80.2
196609,76.56
196608,77.1
196607,83.6
196606,84.74
196605,86.13
196604,91.06
196603,89.23
196602,91.22
196601,92.88
196512,92.43
196511,91.61
196510,92.42
196509,89.96
196508,87.17
196507,85.25
196506,84.12
196505,88.42
196504,89.11
196503,86.16
196502,87.43
196501,87.56
196412,84.75
196411,84.42
196410,84.86
196409,84.18
196408,81.83
196407,83.18
196406,81.69
196405,80.37
196404,79.46
196403,78.98
196402,77.8
196401,77.04
196312,75.02
196311,73.23
196310,74.01
196309,71.7
196308,72.5
196307,69.13
196306,69.37
196305,70.8
196304,69.8
196303,66.57
196302,64.29
196301,66.2
196212,63.1
196211,62.26
196210,56.52
196209,56.27
196208,59.12
196207,58.23
196206,54.75
196205,59.63
196204,65.24
196203,69.55
196202,69.96
196201,68.84
196112,71.55
196111,71.32
196110,68.62
196109,66.73
196108,68.07
196107,66.76
196106,64.64
196105,66.56
196104,65.31
196103,65.06
196102,63.44
196101,61.78
196012,58.11
196011,55.54
196010,53.39
196009,53.52
196008,56.96
196007,55.51
196006,56.92
196005,55.83
196004,54.37
196003,55.34
196002,56.12
196001,55.61
195912,59.89
195911,58.28
195910,57.52
195909,56.88
195908,59.6
195907,60.51
195906,58.47
195905,58.68
195904,57.59
195903,55.44
195902,55.41
195901,55.45
195812,55.21
195811,52.48
195810,51.33
195809,50.06
195808,47.75
195807,47.19
195806,45.24
195805,44.09
195804,43.44
195803,42.1
195802,40.84
195801,41.7
195712,39.99
195711,41.72
195710,41.06
195709,42.42
195708,45.22
195707,47.91
195706,47.37
195705,47.43
195704,45.74
195703,44.11
195702,43.26
195701,44.72
195612,46.67
195611,45.08
195610,45.58
195609,45.35
195608,47.51
195607,49.39
195606,46.97
195605,45.2
195604,48.38
195603,48.48
195602,45.34
195601,43.82
195512,45.48
195511,45.51
195510,42.34
195509,43.67
195508,43.18
195507,43.52
195506,41.03
195505,37.91
195504,37.96
195503,36.58
195502,36.76
195501,36.63
195412,35.98
195411,34.24
195410,31.68
195409,32.31
195408,29.83
195407,30.88
195406,29.21
195405,29.19
195404,28.26
195403,26.94
195402,26.15
195401,26.08
195312,24.81
195311,24.76
195310,24.54
195309,23.35
195308,23.32
195307,24.75
195306,24.14
195305,24.54
195304,24.62
195303,25.29
195302,25.9
195301,26.38
195212,26.57
195211,25.66
195210,24.52
195209,24.54
195208,25.03
195207,25.4
195206,24.96
195205,23.86
195204,23.32
195203,24.37
195202,23.26
195201,24.14
195112,23.77
195111,22.88
195110,22.94
195109,23.26
195108,23.28
195107,22.4
195106,20.96
195105,21.52
195104,22.43
195103,21.48
195102,21.8
195101,21.66
195012,20.43
195011,19.51
195010,19.53
195009,19.45
195008,18.42
195007,17.84
195006,17.69
195005,18.78
195004,17.96
195003,17.29
195002,17.22
195001,17.05
